Tumor	Sampling	u	Lp	Lm	H_value	Time_between_Dx_of_PM	log10.Nd_median	log10.Nd_1st_qu	log10.Nd_3rd_qu
Kim1_LI	multi-region	0.3	0	2	2	0	4	3	4
Kim2_LI	multi-region	0.3	1	14	7	7	8	7	8
Leung1_LI	single-region	0.06	5	11	1.833333333	0	7	4	8
Leung2_LI	single-region	0.3	14	91	6.066666667	0	5	4	6
Lim12_LI	single-region	0.15	13	17	1.214285714	0	5	4	6
Lim16_LI	single-region	0.06	5	7	1.166666667	0	5	4	6
Lim21_LI	single-region	0.06	2	20	6.666666667	0	6	5	7
Lim3_LI	single-region	0.3	13	17	1.214285714	0	5	4	6
Lim7_LI	single-region	0.06	7	4	0.5	0	5	4	6
Lim8_LI	single-region	0.6	49	102	2.04	0	5	4	6
Uchi2_LI	multi-region	0.03	2	8	2.666666667	0	5	4	7
V402_BM	multi-region	0.3	6	20	2.857142857	56	5	4	6
V46_BM	single-region	0.15	11	45	3.75	45	5	4	7
V514_BM	single-region	0.15	9	24	2.4	6	5	4	6
V559_BM	single-region	0.15	8	26	2.888888889	20	6	4	7
V559_LI	single-region	0.15	11	6	0.5	0	5	4	7
V750_BM	multi-region	0.6	2	17	5.666666667	6	7	6	8
V824_BM	multi-region	0.6	2	25	8.333333333	10	4	3	5
V855_BM	single-region	0.15	14	12	0.8	4	5	4	6
V930_BM	multi-region	0.15	1	47	23.5	103	8	6	9
V930_LU	multi-region	0.3	2	33	11	68	7	6	9
V953_BM	multi-region	0.6	33	21	0.617647059	30	4	3	6
V974_BM	multi-region	0.3	45	30	0.652173913	0	4	3	6
