Met	S1	S2	S3	S4	S5	S6	S7	S8	S9
V402_BM	106	29	9	6	24	21	20	20	2
V824_BM	108	23	4	2	39	29	26	25	3
V953_BM	295	190	64	33	54	33	21	21	2
V974_BM	66	59	49	45	35	30	30	30	1
V930_LU	32	12	7	2	88	78	48	33	2
V930_BM	29	11	6	2	52	48	47	47	1
V750_BM	63	26	6	2	98	42	19	17	11
V46_BM	20	19	12	11	58	54	51	45	4
V514_BM	16	16	16	9	42	27	26	24	2
V559_LI	18	15	13	11	103	68	13	6	5
V559_BM	13	13	11	8	66	65	34	26	4
V855_BM	32	32	21	14	21	21	14	12	2
Uchi2_LI	11	5	2	2	12	12	10	8	0
Kim1_LI	42	8	0	0	8	5	3	2	4
Kim2_LI	79	34	6	1	16	15	15	14	22
Leung1_LI	8	8	7	5	16	16	13	11	3
Leung2_LI	24	21	17	14	138	118	103	91	3
Lim3_LI	42	41	23	13	30	28	23	17	0
Lim7_LI	17	11	8	7	13	13	5	4	0
Lim8_LI	65	65	59	49	123	122	114	102	0
Lim12_LI	24	24	19	13	40	40	32	17	0
Lim16_LI	14	14	7	5	17	12	7	7	0
Lim21_LI	2	2	2	2	28	28	25	20	0
