Met	Model	u0.003	u0.006	u0.015	u0.03	u0.06	u0.15	u0.3	u0.6	u1.5	u3	gap	Nd_1e3	Nd_1e4	Nd_1e5	Nd_1e6	Nd_1e7	Nd_1e8	Nd_1e9	u_median	log10.Nd_median	log10.Nd_1st_qu	log10.Nd_3st_qu
V824_BM	NN	0	0	0	0	0	0	0.04034582	0.9582133	0.001440922	0	0	0.3760807	0.332853	0.184438	0.08069164	0.01585014	0.008645533	0.001440922	0.6	4	3	5
V402_BM	NN	0	0	0	0	0	0.002881844	0.08789625	0.8818444	0.02737752	0	0	0.3472622	0.2982709	0.1916427	0.1008646	0.04466859	0.01440922	0.002881844	0.6	4	3	5
V953_BM	SN	0	0	0	0	0	0	0.1042857	0.6585714	0.2257143	0.01142857	0	0.3171429	0.2714286	0.1871429	0.1242857	0.06428571	0.02857143	0.007142857	0.6	4	3	5
V974_BM	SN	0	0	0	0	0	0.002857143	0.38	0.6171429	0	0	0	0.3114286	0.2414286	0.1671429	0.1528571	0.08	0.02571429	0.02142857	0.6	4	3	6
V855_BM	SN	0	0	0	0	0.01428571	0.6085714	0.3771429	0	0	0	0	0.2514286	0.2714286	0.1985714	0.15	0.09571429	0.02571429	0.007142857	0.15	4	3	6
V514_BM	SS	0	0	0	0.002857143	0.19	0.77	0.03714286	0	0	0	0	0.1742857	0.2328571	0.2071429	0.1714286	0.1357143	0.05	0.02857143	0.15	5	4	6
V559_LI	SN	0	0	0	0	0.03857143	0.4028571	0.43	0.1285714	0	0	0	0.1128571	0.1442857	0.1628571	0.1685714	0.1971429	0.12	0.09428571	0.15	6	4	7
V46_BM	SS	0	0	0	0.001428571	0.02571429	0.6757143	0.29	0.007142857	0	0	0	0.1371429	0.1514286	0.1971429	0.2128571	0.1642857	0.07571429	0.06142857	0.3	6	4	7
V559_BM	SS	0	0	0	0.01428571	0.09428571	0.5742857	0.2942857	0.02285714	0	0	0	0.09285714	0.12	0.1142857	0.1571429	0.1471429	0.1885714	0.18	0.15	7	4	8
V750_BM	SN	0	0	0	0	0.002857143	0.1014286	0.3642857	0.4957143	0.03571429	0	0	0.05571429	0.07571429	0.06714286	0.09571429	0.2414286	0.3342857	0.13	0.3	7	6	8
V930_LU	SS	0	0	0	0	0	0.2	0.6885714	0.1114286	0	0	0	0.06	0.06	0.1085714	0.1257143	0.1514286	0.2485714	0.2457143	0.3	7	6	8
V930_BM	SS	0	0	0	0	0.002857143	0.48	0.4957143	0.02142857	0	0	0	0.05285714	0.07428571	0.1057143	0.1185714	0.1514286	0.2185714	0.2785714	0.15	7	6	9
Kim1_LI	NN	0	0	0	0	0.001440922	0.4121037	0.5835735	0.002881844	0	0	0	0.4956772	0.2564841	0.1340058	0.07925072	0.02449568	0.007204611	0.002881844	0.3	4	3	4
Lim16_LI	SS	0	0	0.008571429	0.18	0.7485714	0.06285714	0	0	0	0	0	0.2585714	0.2314286	0.1857143	0.1657143	0.1114286	0.03142857	0.01571429	0.06	5	3	6
Lim12_LI	SS	0	0	0	0	0.01428571	0.8428571	0.1414286	0.001428571	0	0	0	0.2328571	0.2371429	0.1928571	0.1914286	0.1171429	0.01714286	0.01142857	0.15	5	4	6
Lim3_LI	SN	0	0	0	0	0.004285714	0.3171429	0.6642857	0.01428571	0	0	0	0.1714286	0.2728571	0.2114286	0.2114286	0.09571429	0.02428571	0.01285714	0.3	5	4	6
Lim7_LI	SN	0	0	0.001428571	0.08285714	0.7157143	0.2	0	0	0	0	0	0.2114286	0.2342857	0.1742857	0.1914286	0.1342857	0.03428571	0.02	0.06	5	4	6
Lim8_LI	SS	0	0	0	0	0	0	0.2128571	0.7871429	0	0	0	0.1885714	0.2171429	0.2042857	0.1714286	0.1485714	0.04428571	0.02571429	0.6	5	4	6
Uchi2_LI	SS	0	0.002857143	0.1142857	0.5928571	0.2871429	0.002857143	0	0	0	0	0	0.1514286	0.2085714	0.1942857	0.1728571	0.1514286	0.08571429	0.03571429	0.03	5	4	7
Leung2_LI	SS	0	0	0	0	0	0.1142857	0.7057143	0.18	0	0	0	0.1414286	0.1642857	0.2057143	0.2085714	0.1528571	0.07714286	0.05	0.3	5	4	7
Leung1_LI	SS	0.002857143	0.005714286	0.04714286	0.1828571	0.4642857	0.2671429	0.03	0	0	0	0	0.08571429	0.1042857	0.09285714	0.13	0.1528571	0.2242857	0.21	0.06	7	5	8
Lim21_LI	SS	0	0	0.02	0.2414286	0.5814286	0.1557143	0.001428571	0	0	0	0	0.08	0.1257143	0.1285714	0.1314286	0.1571429	0.15	0.2271429	0.06	7	5	8
Kim2_LI	SN	0	0	0	0	0.002857143	0.1714286	0.4414286	0.3157143	0.06857143	0	0	0.008571429	0.008571429	0.03285714	0.06714286	0.2057143	0.4728571	0.2042857	0.3	8	7	8
