Met	Model	u0.003	u0.006	u0.015	u0.03	u0.06	u0.15	u0.3	u0.6	u1.5	u3	gap	Nd_1e3	Nd_1e4	Nd_1e5	Nd_1e6	Nd_1e7	Nd_1e8	Nd_1e9	u_median	log10.Nd_median	log10.Nd_1st_qu	log10.Nd_3st_qu
V824_BM	NN	0	0	0	0	0	0	0.04142857	0.95	0.008571429	0	0	0.3485714	0.2657143	0.1871429	0.08142857	0.1028571	0.01428571	0	0.6	4	3	5
V953_BM	SN	0	0	0	0	0	0	0.08857143	0.5628571	0.2914286	0.05714286	0	0.3085714	0.2214286	0.17	0.11	0.1157143	0.06714286	0.007142857	0.6	4	3	6
V974_BM	SN	0	0	0	0	0	0.01142857	0.4842857	0.5028571	0.001428571	0	0	0.2628571	0.2757143	0.1957143	0.1442857	0.08	0.03	0.01142857	0.6	4	3	6
V402_BM	SN	0	0	0	0	0.01	0.4942857	0.43	0.06142857	0.004285714	0	0	0.2014286	0.24	0.22	0.1757143	0.09285714	0.03714286	0.03285714	0.15	5	4	6
V514_BM	SS	0	0	0	0.001428571	0.1828571	0.7757143	0.04	0	0	0	0	0.1885714	0.2042857	0.2028571	0.1885714	0.1271429	0.05428571	0.03428571	0.15	5	4	6
V855_BM	SN	0	0	0	0	0.01428571	0.6671429	0.3171429	0.001428571	0	0	0	0.2028571	0.28	0.2	0.1771429	0.1042857	0.02285714	0.01285714	0.15	5	4	6
V46_BM	SS	0	0	0	0	0.04428571	0.7171429	0.2342857	0.004285714	0	0	0	0.1314286	0.1828571	0.2157143	0.1771429	0.1857143	0.05857143	0.04857143	0.15	5	4	7
V559_LI	SS	0	0	0	0.008571429	0.105714286	0.711428571	0.167142857	0.007142857	0	0	0	0.175714286	0.215714286	0.2	0.152857143	0.117142857	0.071428571	0.067142857	0.15	5	4	7
V559_BM	SS	0	0	0	0.01714286	0.1457143	0.6628571	0.1657143	0.008571429	0	0	0	0.1328571	0.1671429	0.17	0.1628571	0.1614286	0.1114286	0.09428571	0.15	6	4	7
V750_BM	SN	0	0	0	0	0.001428571	0.09142857	0.3857143	0.4657143	0.05571429	0	0	0.05428571	0.06857143	0.06428571	0.1128571	0.2442857	0.2985714	0.1571429	0.6	7	6	8
V930_LU	SS	0	0	0	0	0	0.2771429	0.6642857	0.05857143	0	0	0	0.05428571	0.05857143	0.1028571	0.1271429	0.1585714	0.2385714	0.26	0.3	7	6	9
V930_BM	SS	0	0	0	0	0.002857143	0.5814286	0.4028571	0.01285714	0	0	0	0.04428571	0.06571429	0.1042857	0.1142857	0.1485714	0.2185714	0.3042857	0.15	8	6	9
Kim1_LI	NN	0	0	0	0	0	0.2428571	0.74	0.01714286	0	0	0	0.4814286	0.2814286	0.1157143	0.06571429	0.04857143	0.007142857	0	0.3	4	3	4
Leung2_LI	SS	0	0	0	0	0	0.1428571	0.7057143	0.15	0.001428571	0	0	0.15	0.1857143	0.2214286	0.2185714	0.1442857	0.05	0.03	0.3	5	4	6
Lim3_LI	SN	0	0	0	0	0.001428571	0.4028571	0.5771429	0.01857143	0	0	0	0.1671429	0.2328571	0.2285714	0.2057143	0.1285714	0.02571429	0.01142857	0.3	5	4	6
Lim7_LI	SN	0	0	0	0.1185714	0.7014286	0.18	0	0	0	0	0	0.1814286	0.2228571	0.2028571	0.1842857	0.15	0.04857143	0.01	0.06	5	4	6
Lim8_LI	SS	0	0	0	0	0	0	0.2157143	0.7842857	0	0	0	0.16	0.1857143	0.2042857	0.2257143	0.1628571	0.03857143	0.02285714	0.6	5	4	6
Lim12_LI	SS	0	0	0	0	0.06	0.8071429	0.1314286	0.001428571	0	0	0	0.2342857	0.2114286	0.2071429	0.1914286	0.1071429	0.02714286	0.02142857	0.15	5	4	6
Lim16_LI	SS	0	0	0.008571429	0.2371429	0.71	0.04428571	0	0	0	0	0	0.2185714	0.2357143	0.1928571	0.1842857	0.1185714	0.03571429	0.01428571	0.06	5	4	6
Uchi2_LI	SS	0	0.001428571	0.13	0.5928571	0.2757143	0	0	0	0	0	0	0.1571429	0.1885714	0.1914286	0.1928571	0.1757143	0.05571429	0.03857143	0.03	5	4	7
Lim21_LI	SS	0	0	0.02	0.3128571	0.5628571	0.1028571	0.001428571	0	0	0	0	0.1	0.1242857	0.1485714	0.1857143	0.1985714	0.1357143	0.1071429	0.06	6	5	7
Leung1_LI	SS	0.004285714	0.002857143	0.06142857	0.2428571	0.5242857	0.1542857	0.01	0	0	0	0	0.1257143	0.1371429	0.1371429	0.1485714	0.1485714	0.1714286	0.1314286	0.06	7	4	8
Kim2_LI	SN	0	0	0	0	0.001428571	0.1757143	0.39	0.31	0.1228571	0	0	0.01428571	0.01142857	0.03857143	0.09	0.25	0.3971429	0.1985714	0.3	8	7	8
