Met	Model	u0.003	u0.006	u0.015	u0.03	u0.06	u0.15	u0.3	u0.6	u1.5	mu3	gap	Nd_1e3	Nd_1e4	Nd_1e5	Nd_1e6	Nd_1e7	Nd_1e8	Nd_1e9	u_median	log10.Nd_median	log10.Nd_1st_qu	log10.Nd_3st_qu
V953_BM	SN	0	0	0	0	0	0.001428571	0.06571429	0.6428571	0.28	0.01	0	0.2942857	0.2485714	0.1842857	0.1457143	0.09142857	0.02428571	0.01142857	0.6	4	3	6
V974_BM	SN	0	0	0	0	0	0.005714286	0.3928571	0.6014286	0	0	0	0.26	0.2585714	0.1928571	0.1328571	0.1	0.04285714	0.01285714	0.6	4	3	6
V855_BM	SN	0	0	0	0	0.005714286	0.5428571	0.4471429	0.004285714	0	0	0	0.1757143	0.2171429	0.2171429	0.1942857	0.1471429	0.02857143	0.02	0.15	5	4	6
V402_BM	SN	0	0	0	0	0.002857143	0.3428571	0.5471429	0.1057143	0.001428571	0	0	0.18	0.1785714	0.2128571	0.2257143	0.13	0.03714286	0.03571429	0.3	5	4	6
V559_LI	SS	0	0	0	0.002857143	0.06285714	0.6985714	0.2171429	0.01857143	0	0	0	0.1642857	0.1871429	0.1742857	0.1657143	0.1557143	0.07857143	0.07428571	0.15	5	4	7
V514_BM	SS	0	0	0	0.001428571	0.1171429	0.84	0.04142857	0	0	0	0	0.1528571	0.1685714	0.18	0.2042857	0.18	0.08428571	0.03	0.15	5	4	7
V559_BM	SS	0	0	0	0.002857143	0.09428571	0.6757143	0.2114286	0.01571429	0	0	0	0.1314286	0.1242857	0.1771429	0.1828571	0.1714286	0.1114286	0.1014286	0.15	6	4	7
V46_BM	SS	0	0	0	0	0.02142857	0.6328571	0.3342857	0.01142857	0	0	0	0.09285714	0.16	0.18	0.2114286	0.2142857	0.08142857	0.06	0.15	6	4	7
V824_BM	SN	0	0	0	0	0	0.06428571	0.5814286	0.3514286	0.002857143	0	0	0.1142857	0.1314286	0.1342857	0.14	0.1428571	0.17	0.1671429	0.3	6	5	8
V750_BM	SN	0	0	0	0	0	0.03857143	0.3514286	0.4957143	0.1142857	0	0	0.04285714	0.04857143	0.07142857	0.1514286	0.1514286	0.36	0.1742857	0.6	8	6	8
V930_LU	SS	0	0	0	0	0.001428571	0.4485714	0.5228571	0.02714286	0	0	0	0.06857143	0.09142857	0.1214286	0.1385714	0.1371429	0.17	0.2728571	0.3	8	5	9
V930_BM	SN	0	0	0	0	0	0.09714286	0.5957143	0.3071429	0	0	0	0	0.02	0.08	0.1542857	0.1757143	0.2214286	0.3485714	0.3	8	6	9
Kim1_LI	NN	0	0	0	0	0	0.02285714	0.6171429	0.36	0	0	0	0.58	0.2414286	0.1114286	0.04428571	0.01714286	0.005714286	0	0.3	4	3	4
Uchi2_LI	SS	0	0	0.07857143	0.58	0.3328571	0.007142857	0.001428571	0	0	0	0	0.14	0.1942857	0.1814286	0.18	0.1742857	0.08714286	0.04285714	0.03	4	4	7
Lim12_LI	SS	0	0	0	0	0.01714286	0.8028571	0.1785714	0.001428571	0	0	0	0.1942857	0.2	0.2085714	0.1728571	0.1614286	0.04	0.02285714	0.15	5	4	6
Lim3_LI	SN	0	0	0	0	0	0.2457143	0.7085714	0.04571429	0	0	0	0.1414286	0.2157143	0.2142857	0.2185714	0.1585714	0.02857143	0.02285714	0.3	5	4	6
Leung2_LI	SS	0	0	0	0	0	0.06428571	0.7328571	0.2014286	0.001428571	0	0	0.1085714	0.1457143	0.1957143	0.2371429	0.21	0.05571429	0.04714286	0.3	6	4	7
Lim16_LI	SN	0	0	0	0.05857143	0.5714286	0.3528571	0.01571429	0.001428571	0	0	0	0.1214286	0.1614286	0.1785714	0.2242857	0.2042857	0.08428571	0.02571429	0.06	6	4	7
Lim7_LI	SN	0	0	0	0.05142857	0.6271429	0.3142857	0.007142857	0	0	0	0	0.1614286	0.1671429	0.1785714	0.1857143	0.2	0.07714286	0.03	0.06	6	4	7
Lim8_LI	SS	0	0	0	0	0	0	0.1714286	0.8271429	0.001428571	0	0	0.1285714	0.17	0.1828571	0.2085714	0.2185714	0.07	0.02142857	0.6	6	4	7
Lim21_LI	SS	0	0	0.01	0.2214286	0.5471429	0.2157143	0.005714286	0	0	0	0	0.09571429	0.1157143	0.1171429	0.1728571	0.2257143	0.1428571	0.13	0.06	7	5	8
Leung1_LI	SS	0.001428571	0.002857143	0.02714286	0.2185714	0.5742857	0.1571429	0.01857143	0	0	0	0	0.1128571	0.1328571	0.14	0.1457143	0.1685714	0.1757143	0.1242857	0.06	7	5	8
Kim2_LI	SN	0	0	0	0	0.01142857	0.1871429	0.3857143	0.3442857	0.07142857	0	0	0.001428571	0.01571429	0.01714286	0.05571429	0.1157143	0.4928571	0.3014286	0.3	8	5	8
